iteration,no_cluster,frequent_term_set,cluster_candidate,support,doc_frequency,eo_formula,eo
1,1,{adil},"{D13,D16,D36,D38,D39,D40,D61,D68,D77,D107,D108,D140,D148,D162,D177,D184,D191,D200,D208,D213,D217,D240,D243,D252,D258,D269,D297,D303,D331,D357,D366,D389,D396,D404,D429,D437,D443,D485}",38,"f13=2, f16=2, f36=8, f38=12, f39=7, f40=23, f61=4, f68=14, f77=5, f107=3, f108=7, f140=3, f148=9, f162=13, f177=8, f184=1, f191=5, f200=5, f208=4, f213=9, f217=6, f240=5, f243=2, f252=9, f258=4, f269=1, f297=6, f303=7, f331=2, f357=11, f366=22, f389=8, f396=7, f404=8, f429=19, f437=2, f443=2, f485=2",EO = ((-1/2)*LN(1/2)) + ((-1/2)*LN(1/2)) + ((-1/8)*LN(1/8)) + ((-1/12)*LN(1/12)) + ((-1/7)*LN(1/7)) + ((-1/23)*LN(1/23)) + ((-1/4)*LN(1/4)) + ((-1/14)*LN(1/14)) + ((-1/5)*LN(1/5)) + ((-1/3)*LN(1/3)) + ((-1/7)*LN(1/7)) + ((-1/3)*LN(1/3)) + ((-1/9)*LN(1/9)) + ((-1/13)*LN(1/13)) + ((-1/8)*LN(1/8)) + ((-1/5)*LN(1/5)) + ((-1/5)*LN(1/5)) + ((-1/4)*LN(1/4)) + ((-1/9)*LN(1/9)) + ((-1/6)*LN(1/6)) + ((-1/5)*LN(1/5)) + ((-1/2)*LN(1/2)) + ((-1/9)*LN(1/9)) + ((-1/4)*LN(1/4)) + ((-1/6)*LN(1/6)) + ((-1/7)*LN(1/7)) + ((-1/2)*LN(1/2)) + ((-1/11)*LN(1/11)) + ((-1/22)*LN(1/22)) + ((-1/8)*LN(1/8)) + ((-1/7)*LN(1/7)) + ((-1/8)*LN(1/8)) + ((-1/19)*LN(1/19)) + ((-1/2)*LN(1/2)) + ((-1/2)*LN(1/2)) + ((-1/2)*LN(1/2)),10.209697
1,2,{allah},"{D11,D34,D38,D39,D41,D43,D52,D68,D100,D111,D162,D181,D189,D190,D207,D228,D239,D303,D322,D352,D357,D394,D396,D399,D408,D442,D455,D486}",28,"f11=2, f34=4, f38=12, f39=7, f41=1, f43=13, f52=6, f68=14, f100=5, f111=15, f162=13, f181=2, f189=10, f190=10, f207=13, f228=3, f239=10, f303=7, f322=12, f352=6, f357=11, f394=8, f396=7, f399=1, f408=9, f442=4, f455=8, f486=4",EO = ((-1/2)*LN(1/2)) + ((-1/4)*LN(1/4)) + ((-1/12)*LN(1/12)) + ((-1/7)*LN(1/7)) + ((-1/13)*LN(1/13)) + ((-1/6)*LN(1/6)) + ((-1/14)*LN(1/14)) + ((-1/5)*LN(1/5)) + ((-1/15)*LN(1/15)) + ((-1/13)*LN(1/13)) + ((-1/2)*LN(1/2)) + ((-1/10)*LN(1/10)) + ((-1/10)*LN(1/10)) + ((-1/13)*LN(1/13)) + ((-1/3)*LN(1/3)) + ((-1/10)*LN(1/10)) + ((-1/7)*LN(1/7)) + ((-1/12)*LN(1/12)) + ((-1/6)*LN(1/6)) + ((-1/11)*LN(1/11)) + ((-1/8)*LN(1/8)) + ((-1/7)*LN(1/7)) + ((-1/9)*LN(1/9)) + ((-1/4)*LN(1/4)) + ((-1/8)*LN(1/8)) + ((-1/4)*LN(1/4)),6.90004
1,3,{alloh},"{D16,D22,D86,D118,D171,D187,D279,D299,D304,D326,D357,D369}",12,"f16=2, f22=3, f86=2, f118=9, f171=11, f187=5, f279=5, f299=2, f304=11, f326=3, f357=11, f369=3",EO = ((-1/2)*LN(1/2)) + ((-1/3)*LN(1/3)) + ((-1/2)*LN(1/2)) + ((-1/9)*LN(1/9)) + ((-1/11)*LN(1/11)) + ((-1/5)*LN(1/5)) + ((-1/5)*LN(1/5)) + ((-1/2)*LN(1/2)) + ((-1/11)*LN(1/11)) + ((-1/3)*LN(1/3)) + ((-1/11)*LN(1/11)) + ((-1/3)*LN(1/3)),3.680216
1,4,{anak},"{D29,D150,D162,D187,D194,D241,D258,D261,D270,D365,D388,D401,D417,D434}",14,"f29=5, f150=16, f162=13, f187=5, f194=2, f241=3, f258=4, f261=4, f270=14, f365=8, f388=3, f401=27, f417=3, f434=6",EO = ((-1/5)*LN(1/5)) + ((-1/16)*LN(1/16)) + ((-1/13)*LN(1/13)) + ((-1/5)*LN(1/5)) + ((-1/2)*LN(1/2)) + ((-1/3)*LN(1/3)) + ((-1/4)*LN(1/4)) + ((-1/4)*LN(1/4)) + ((-1/14)*LN(1/14)) + ((-1/8)*LN(1/8)) + ((-1/3)*LN(1/3)) + ((-1/27)*LN(1/27)) + ((-1/3)*LN(1/3)) + ((-1/6)*LN(1/6)),4.021828
1,5,{aneh},"{D5,D85,D88,D148,D220,D295,D406,D411}",8,"f5=4, f85=5, f88=8, f148=9, f220=12, f295=1, f406=10, f411=3",EO = ((-1/4)*LN(1/4)) + ((-1/5)*LN(1/5)) + ((-1/8)*LN(1/8)) + ((-1/9)*LN(1/9)) + ((-1/12)*LN(1/12)) + ((-1/10)*LN(1/10)) + ((-1/3)*LN(1/3)),1.976066
1,6,{apa},"{D21,D62,D80,D85,D118,D160,D163,D176,D189,D190,D209,D235,D239,D270,D335,D336,D367,D419,D425,D490,D494}",21,"f21=8, f62=7, f80=8, f85=5, f118=9, f160=6, f163=14, f176=7, f189=10, f190=10, f209=12, f235=2, f239=10, f270=14, f335=2, f336=7, f367=2, f419=8, f425=4, f490=2, f494=4",EO = ((-1/8)*LN(1/8)) + ((-1/7)*LN(1/7)) + ((-1/8)*LN(1/8)) + ((-1/5)*LN(1/5)) + ((-1/9)*LN(1/9)) + ((-1/6)*LN(1/6)) + ((-1/14)*LN(1/14)) + ((-1/7)*LN(1/7)) + ((-1/10)*LN(1/10)) + ((-1/10)*LN(1/10)) + ((-1/12)*LN(1/12)) + ((-1/2)*LN(1/2)) + ((-1/10)*LN(1/10)) + ((-1/14)*LN(1/14)) + ((-1/2)*LN(1/2)) + ((-1/7)*LN(1/7)) + ((-1/2)*LN(1/2)) + ((-1/8)*LN(1/8)) + ((-1/4)*LN(1/4)) + ((-1/2)*LN(1/2)) + ((-1/4)*LN(1/4)),5.832703
1,7,{baik},"{D14,D19,D40,D48,D68,D101,D132,D173,D207,D259,D264,D318,D346,D373,D453,D483}",16,"f14=6, f19=2, f40=23, f48=12, f68=14, f101=6, f132=9, f173=12, f207=13, f259=4, f264=7, f318=4, f346=5, f373=8, f453=3, f483=10",EO = ((-1/6)*LN(1/6)) + ((-1/2)*LN(1/2)) + ((-1/23)*LN(1/23)) + ((-1/12)*LN(1/12)) + ((-1/14)*LN(1/14)) + ((-1/6)*LN(1/6)) + ((-1/9)*LN(1/9)) + ((-1/12)*LN(1/12)) + ((-1/13)*LN(1/13)) + ((-1/4)*LN(1/4)) + ((-1/7)*LN(1/7)) + ((-1/4)*LN(1/4)) + ((-1/5)*LN(1/5)) + ((-1/8)*LN(1/8)) + ((-1/3)*LN(1/3)) + ((-1/10)*LN(1/10)),4.273662
1,8,{bang},"{D28,D66,D126,D140,D188,D234,D243,D263,D296,D324,D394,D484}",12,"f28=3, f66=2, f126=2, f140=3, f188=3, f234=2, f243=2, f263=11, f296=5, f324=4, f394=8, f484=4",EO = ((-1/3)*LN(1/3)) + ((-1/2)*LN(1/2)) + ((-1/2)*LN(1/2)) + ((-1/3)*LN(1/3)) + ((-1/3)*LN(1/3)) + ((-1/2)*LN(1/2)) + ((-1/2)*LN(1/2)) + ((-1/11)*LN(1/11)) + ((-1/5)*LN(1/5)) + ((-1/4)*LN(1/4)) + ((-1/8)*LN(1/8)) + ((-1/4)*LN(1/4)),3.977862
1,9,{banyak},"{D30,D60,D95,D113,D132,D156,D183,D186,D209,D218,D239,D270,D364,D413,D434,D494}",16,"f30=6, f60=2, f95=17, f113=15, f132=9, f156=6, f183=13, f186=2, f209=12, f218=11, f239=10, f270=14, f364=4, f413=7, f434=6, f494=4",EO = ((-1/6)*LN(1/6)) + ((-1/2)*LN(1/2)) + ((-1/17)*LN(1/17)) + ((-1/15)*LN(1/15)) + ((-1/9)*LN(1/9)) + ((-1/6)*LN(1/6)) + ((-1/13)*LN(1/13)) + ((-1/2)*LN(1/2)) + ((-1/12)*LN(1/12)) + ((-1/11)*LN(1/11)) + ((-1/10)*LN(1/10)) + ((-1/14)*LN(1/14)) + ((-1/4)*LN(1/4)) + ((-1/7)*LN(1/7)) + ((-1/6)*LN(1/6)) + ((-1/4)*LN(1/4)),4.192626
1,10,{bapak},"{D14,D26,D36,D40,D43,D85,D170,D187,D248,D264,D294,D298,D346,D351,D357,D417,D419,D429,D493}",19,"f14=6, f26=3, f36=8, f40=23, f43=13, f85=5, f170=13, f187=5, f248=10, f264=7, f294=3, f298=10, f346=5, f351=5, f357=11, f417=3, f419=8, f429=19, f493=6",EO = ((-1/6)*LN(1/6)) + ((-1/3)*LN(1/3)) + ((-1/8)*LN(1/8)) + ((-1/23)*LN(1/23)) + ((-1/13)*LN(1/13)) + ((-1/5)*LN(1/5)) + ((-1/13)*LN(1/13)) + ((-1/5)*LN(1/5)) + ((-1/10)*LN(1/10)) + ((-1/7)*LN(1/7)) + ((-1/3)*LN(1/3)) + ((-1/10)*LN(1/10)) + ((-1/5)*LN(1/5)) + ((-1/5)*LN(1/5)) + ((-1/11)*LN(1/11)) + ((-1/3)*LN(1/3)) + ((-1/8)*LN(1/8)) + ((-1/19)*LN(1/19)) + ((-1/6)*LN(1/6)),5.145675
