Feature Name,Explanation,Example
PPRE,Person prefix,"Dr., Pak, Bpk, K.H."
PMID,Person middle,"bin, van"
PSUF,Person suffix,"S.Kom, SH"
PTIT,Person title,"Menteri, Presiden, Pak"
OPRE,Organization prefix,"PT, Universitas, Kementerian"
OSUF,Organization suffix,"Ltd., Company, Tbk"
OPOS,Position in organization,"Ketua, Menteri, Rektor"
OCON,Other organization contextual,"Mukernas, Rakernas, Gojek"
LPRE,Location prefix,"Kota, Provinsi, Kabupaten"
LSUF,Location suffix,"Utara, Selatan, City"
LLDR,Location leader,"Gubernur, Walikota"
POLP,Prepositions usually followed by person name,"oleh, untuk"
LOPP,Prepositions usually followed by location name,"di, ke, dari"
DAY,Day,"Senin, Sabtu"
MONTH,Month,"April, Mei"
