topic_id,rank,term,probability
0,1,pak,0.05707612968677347
0,2,allah,0.04439489368897155
0,3,nadiem,0.03805427569007059
0,4,adil,0.03382719702413662
0,5,moga,0.03382719702413662
0,6,siapa,0.028543348691719154
0,7,hakim,0.025373039692268676
0,8,tuhan,0.023259500359301688
0,9,orang,0.022202730692818196
0,10,bapak,0.021145961026334703
0,11,benar,0.019032421693367715
0,12,semua,0.017975652026884222
1,1,orang,0.05811588844284808
1,2,sama,0.034346608916120853
1,3,baik,0.029064546799070355
1,4,nadim,0.02774403126980773
1,5,jangan,0.022461969152757236
1,6,punya,0.02114145362349461
1,7,negara,0.02114145362349461
1,8,korupsi,0.018500422564969362
1,9,maling,0.017179907035706737
1,10,lah,0.017179907035706737
1,11,kalau,0.015859391506444113
1,12,gojek,0.015859391506444113
2,1,jokowi,0.1275700578738958
2,2,korupsi,0.036190222357599756
2,3,apa,0.03428647578434359
2,4,uang,0.03047898263783125
2,5,nadiem,0.026671489491318912
2,6,semua,0.026671489491318912
2,7,sebut,0.022863996344806577
2,8,vonis,0.022863996344806577
2,9,pak,0.01905650319829424
2,10,koruptor,0.01715275662503807
2,11,aneh,0.01715275662503807
2,12,bayar,0.01715275662503807
3,1,hukum,0.08370009918175056
3,2,indonesia,0.06355380609967766
3,3,negara,0.04185779816513762
3,4,gila,0.024810934787999013
3,5,rakyat,0.023261219935531863
3,6,orang,0.018612075378130425
3,7,jahat,0.018612075378130425
3,8,buat,0.018612075378130425
3,9,adil,0.018612075378130425
3,10,koruptor,0.01706236052566328
3,11,tegak,0.01706236052566328
3,12,parah,0.015512645673196133
4,1,jadi,0.11612481315396113
4,2,tumbal,0.03604793935511424
4,3,mau,0.0320440956651719
4,4,nadiem,0.026705637411915437
4,5,jokowi,0.025371022848601325
4,6,tri,0.022701793721973094
4,7,menteri,0.02136717915865898
4,8,salah,0.02136717915865898
4,9,pak,0.020032564595344863
4,10,masuk,0.020032564595344863
4,11,politik,0.020032564595344863
4,12,nadim,0.018697950032030747
